Year, Number of Households
800, 14
801, 16
802, 18
803, 17
804, 19
805, 19
806, 20
807, 20
808, 20
809, 20
810, 20
811, 19
812, 17
813, 18
814, 18
815, 18
816, 18
817, 19
818, 19
819, 20
820, 20
821, 19
822, 19
823, 18
824, 18
825, 18
826, 20
827, 21
828, 23
829, 23
830, 23
831, 23
832, 24
833, 23
834, 25
835, 23
836, 24
837, 22
838, 23
839, 23
840, 24
841, 25
842, 25
843, 26
844, 27
845, 28
846, 29
847, 28
848, 32
849, 32
850, 34
851, 33
852, 36
853, 38
854, 40
855, 41
856, 42
857, 44
858, 42
859, 44
860, 47
861, 49
862, 49
863, 50
864, 50
865, 48
866, 51
867, 51
868, 54
869, 57
870, 56
871, 56
872, 55
873, 57
874, 58
875, 60
876, 59
877, 61
878, 62
879, 67
880, 69
881, 71
882, 69
883, 73
884, 75
885, 78
886, 79
887, 81
888, 85
889, 83
890, 84
891, 85
892, 84
893, 89
894, 93
895, 95
896, 94
897, 99
898, 100
899, 105
900, 109
901, 108
902, 107
903, 105
904, 91
905, 92
906, 92
907, 83
908, 81
909, 85
910, 87
911, 87
912, 89
913, 91
914, 96
915, 93
916, 86
917, 87
918, 88
919, 90
920, 84
921, 62
922, 66
923, 59
924, 59
925, 43
926, 43
927, 42
928, 35
929, 35
930, 33
931, 28
932, 28
933, 29
934, 29
935, 27
936, 17
937, 14
938, 15
939, 15
940, 14
941, 16
942, 16
943, 16
944, 12
945, 11
946, 12
947, 10
948, 11
949, 8
950, 8
951, 7
952, 7
953, 7
954, 8
955, 4
956, 2
957, 2
958, 2
959, 2
960, 2
961, 2
962, 3
963, 2
964, 2
965, 1
966, 1
967, 1
968, 1
969, 1
970, 1
971, 1
972, 1
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
