Year, Number of Households
800, 12
801, 14
802, 11
803, 12
804, 11
805, 12
806, 13
807, 13
808, 12
809, 12
810, 12
811, 13
812, 12
813, 12
814, 12
815, 11
816, 10
817, 11
818, 10
819, 10
820, 11
821, 12
822, 12
823, 12
824, 12
825, 12
826, 12
827, 13
828, 15
829, 14
830, 15
831, 16
832, 17
833, 17
834, 16
835, 14
836, 13
837, 13
838, 12
839, 12
840, 12
841, 12
842, 12
843, 12
844, 12
845, 12
846, 12
847, 13
848, 12
849, 13
850, 12
851, 13
852, 13
853, 13
854, 12
855, 14
856, 15
857, 15
858, 16
859, 16
860, 15
861, 14
862, 14
863, 14
864, 12
865, 12
866, 12
867, 12
868, 13
869, 13
870, 14
871, 14
872, 13
873, 14
874, 14
875, 15
876, 16
877, 17
878, 17
879, 18
880, 18
881, 18
882, 18
883, 18
884, 18
885, 18
886, 17
887, 18
888, 16
889, 14
890, 14
891, 14
892, 14
893, 13
894, 14
895, 14
896, 14
897, 16
898, 16
899, 16
900, 15
901, 15
902, 17
903, 18
904, 20
905, 20
906, 22
907, 24
908, 24
909, 23
910, 20
911, 19
912, 18
913, 17
914, 17
915, 17
916, 17
917, 16
918, 16
919, 16
920, 16
921, 18
922, 18
923, 18
924, 19
925, 19
926, 18
927, 19
928, 21
929, 21
930, 22
931, 22
932, 23
933, 24
934, 26
935, 26
936, 25
937, 23
938, 21
939, 21
940, 20
941, 20
942, 20
943, 19
944, 18
945, 18
946, 18
947, 19
948, 21
949, 22
950, 23
951, 25
952, 16
953, 19
954, 20
955, 15
956, 14
957, 14
958, 7
959, 6
960, 6
961, 4
962, 3
963, 3
964, 2
965, 1
966, 1
967, 1
968, 0
969, 0
970, 0
971, 0
972, 0
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
